family,timestamp,level,host,process,module,pid,source_ip,method,url,version,status,size,referer,user_agent,logger,message
syslog,"Jun 14 15:16:01","","combo","sshd","pam_unix",19939,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog,"Jun 14 15:16:02","","combo","sshd","pam_unix",19937,"","","","",-1,-1,"","","","check pass; user unknown"
syslog,"Jun 14 15:16:02","","combo","sshd","pam_unix",19937,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog,"Jun 15 02:04:59","","combo","sshd","pam_unix",20882,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"
syslog,"Jun 15 02:04:59","","combo","sshd","pam_unix",20884,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"
syslog,"Jun 15 02:04:59","","combo","sshd","pam_unix",20883,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"
syslog,"Jun 15 02:04:59","","combo","sshd","pam_unix",20885,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"
syslog,"Jun 15 02:04:59","","combo","sshd","pam_unix",20886,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"
syslog,"Jun 15 02:04:59","","combo","sshd","pam_unix",20892,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"
syslog,"Jun 15 02:04:59","","combo","sshd","pam_unix",20893,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"
syslog,"Jun 15 02:04:59","","combo","sshd","pam_unix",20896,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"
syslog,"Jun 15 02:04:59","","combo","sshd","pam_unix",20897,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"
syslog,"Jun 15 02:04:59","","combo","sshd","pam_unix",20898,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root"
syslog,"Jun 15 04:06:18","","combo","su","pam_unix",21416,"","","","",-1,-1,"","","","session opened for user cyrus by (uid=0)"
syslog,"Jun 15 04:06:19","","combo","su","pam_unix",21416,"","","","",-1,-1,"","","","session closed for user cyrus"
syslog,"Jun 15 04:06:20","","combo","logrotate","",-1,"","","","",-1,-1,"","","","ALERT exited abnormally with [1]"
syslog,"Jun 15 04:12:42","","combo","su","pam_unix",22644,"","","","",-1,-1,"","","","session opened for user news by (uid=0)"
syslog,"Jun 15 04:12:43","","combo","su","pam_unix",22644,"","","","",-1,-1,"","","","session closed for user news"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23397,"","","","",-1,-1,"","","","check pass; user unknown"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23397,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23395,"","","","",-1,-1,"","","","check pass; user unknown"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23395,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23404,"","","","",-1,-1,"","","","check pass; user unknown"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23404,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23399,"","","","",-1,-1,"","","","check pass; user unknown"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23399,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23406,"","","","",-1,-1,"","","","check pass; user unknown"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23406,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23396,"","","","",-1,-1,"","","","check pass; user unknown"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23394,"","","","",-1,-1,"","","","check pass; user unknown"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23407,"","","","",-1,-1,"","","","check pass; user unknown"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23394,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23403,"","","","",-1,-1,"","","","check pass; user unknown"
syslog,"Jun 15 12:12:34","","combo","sshd","pam_unix",23396,"","","","",-1,-1,"","","","authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4"
